Time,Error,Angle
123,-6.416251,23.99007
246,-12.05813,21.57844
365,-24.55875,16.17822
482,-32.3025,9.376762
1842,-22.125,4.951762
1962,2.986875,5.549137
2082,14.6025,8.927097
2777,12.27938,11.37164
2903,-1.659375,10.51491
3021,-23.01,5.039156
3140,-32.745,-1.948007
4304,-3.54,-2.656007
4427,16.26188,0.5963678
5477,11.28375,2.853118
5603,-9.95625,0.8618679
6880,3.650625,1.591993
7002,16.59375,4.910743
7934,4.756876,5.799153
8058,-14.71313,2.114994
8177,-27.54563,-3.950376
9226,-6.969376,-5.344252
9350,12.27938,-2.888376
9473,25.44375,2.706861
10401,13.49625,5.346656
10525,-8.186251,2.87795
10646,-22.34625,-2.191626
11812,-2.87625,-2.766876
11935,17.03625,0.6403744
12991,10.06688,2.653749
13117,-7.190625,1.215624
14393,3.54,1.923625
14513,18.1425,5.552125
15323,15.045,8.542191
15449,-0.4425,7.874492
15572,-19.47,3.21296
16844,-11.61563,0.8898352
16967,9.07125,2.704085
17088,22.45687,7.718509
17785,13.7175,10.40601
17911,-2.2125,9.361094
18029,-22.78875,3.955225
18148,-30.20063,-2.432703
19314,-1.54875,-2.742453
19438,18.1425,0.8860469
20490,8.628751,2.611797
20615,-12.61125,0.08954716
21777,-11.9475,-2.299953
21903,9.95625,-0.3087032
22024,24.89063,5.244008
22959,2.655,5.661833
23082,-15.37687,1.891119
24357,-7.743751,0.3423693
24480,12.94313,2.930995
