Time,Error,Angle
124,-6.748125,23.9669
244,-20.68688,19.82953
361,-31.08563,13.19631
1496,-27.435,7.709311
1617,-0.0,7.709311
2322,-0.110625,7.686411
2444,-18.91688,3.179436
3487,-10.1775,1.143936
3608,16.15125,4.374187
4433,-11.28375,1.95295
4552,-27.76688,-4.265129
5483,11.61563,-1.737924
5604,28.20938,4.554877
6300,11.28375,6.698607
6425,-13.7175,3.008147
7468,-13.60688,0.286772
7591,12.05813,2.698397
8414,-3.0975,1.987813
8534,-19.13812,-2.47227
9466,4.535625,-1.44457
9588,22.34625,3.722682
10411,-6.969376,2.159094
10531,-22.34625,-2.916827
11463,3.54,-2.076264
11584,24.89063,3.74439
12404,-4.8675,2.599279
12524,-20.90812,-2.219812
13455,1.3275,-1.841429
13577,20.7975,3.074073
14397,-2.101875,2.522676
14518,-19.24875,-2.005244
15451,1.77,-1.545291
15572,20.90812,3.384902
16393,-3.76125,2.491041
16513,-20.02313,-2.152835
17444,0.22125,-2.006091
17565,20.13375,2.799039
18386,4.64625,3.642346
18507,-18.585,-0.9806881
19442,-5.420625,-2.002722
19563,19.47,2.867751
