Time,Error,Angle
121,-6.526875,24.07489
244,-9.513751,22.17214
366,-18.36375,18.15889
485,-24.22688,13.06126
604,-26.9925,7.537044
719,-29.97938,1.411572
836,-27.76688,-4.061526
2229,-9.95625,-6.052776
2357,0.4425,-5.964276
2483,16.59375,-2.042677
2604,24.89063,3.291577
3883,9.181875,5.127953
4007,-9.624375,3.203077
4128,-18.91688,-0.9405904
5755,-2.43375,-1.42734
5878,13.275,1.22766
5999,21.24,5.786896
7162,7.411875,7.269271
7284,-4.093125,6.450646
7407,-18.1425,2.28161
9017,-16.70438,-1.059266
9139,0.110625,-1.037141
9262,17.58937,3.148077
10541,10.06688,5.161452
10665,-7.190625,3.723327
10785,-19.24875,-0.5939455
12289,-13.7175,-3.337445
12413,-3.0975,-3.956945
12537,17.47875,0.3184576
12657,24.55875,5.555349
13820,9.403126,7.435974
13944,-2.544375,6.927099
14066,-15.59813,3.309078
14185,-27.21375,-2.626251
15578,-12.16875,-5.060001
15704,0.22125,-5.015751
15828,17.36813,-0.8924155
15950,23.01,3.964473
17110,14.27063,6.818598
17236,3.429375,7.504473
17364,-13.7175,4.125705
17484,-23.56313,-1.00786
18994,-10.95187,-3.198235
19117,3.650625,-2.46811
19240,19.9125,2.14005
19362,25.77563,7.559064
19483,-5.08875,5.360912
19599,-6.416251,3.948337
19714,-4.978125,3.002419
19828,-4.314375,2.169999
19942,-2.986875,1.629036
20057,-1.77,1.328606
20409,22.78875,6.228674
20533,10.06688,7.780649
20656,-13.93875,4.048321
20775,-25.11188,-1.469393
20895,-27.32438,-7.052452
21011,7.965,-4.054925
21128,9.181875,-2.079299
21242,6.6375,-0.8462525
21357,5.31,0.1556526
21702,2.655,0.6475764
21931,1.99125,1.030573
22046,1.54875,1.321186
22285,-15.4875,-2.121853
22412,-5.31,-2.829789
22536,16.04063,1.208683
22658,23.23125,6.182431
22780,-3.0975,4.570011
22897,-5.641875,3.275263
23012,-4.64625,2.375492
23126,-3.9825,1.608368
23354,-0.553125,1.571404
23468,-0.4425,1.492169
23705,-0.553125,1.379579
23828,14.93438,4.953172
23954,5.420625,5.714639
24077,-20.355,0.6399126
24197,-23.895,-4.339838
24314,5.199375,-2.148578
24430,6.85875,-0.6359794
24660,4.756876,0.2759411
25005,2.87625,0.8236607
25233,1.54875,1.104475
25709,-8.739375,-0.7501676
25834,7.08,1.258805
25957,20.90812,6.000149
26079,19.58063,9.899473
26199,-7.30125,7.379476
26314,-8.960626,5.452385
26429,-7.190625,4.077501
26542,-5.420625,3.070703
26886,-2.87625,2.533455
27005,-2.765625,1.987016
27127,15.4875,5.787197
27254,4.20375,6.248521
27376,-16.70438,2.086312
27497,-21.6825,-2.493885
27616,1.54875,-1.277347
27732,5.199375,-0.0336498
27963,2.986875,0.5240521
28307,1.99125,0.9073037
28652,1.3275,1.163035
28887,-21.90375,-3.694166
29013,-9.403126,-5.136507
29137,13.275,-1.589017
29259,25.44375,4.022564
29382,25.00125,9.037577
29504,-6.748125,6.457864
29619,-8.075625,4.710224
29735,-6.195,3.539122
29848,-4.64625,2.677798
30192,-2.765625,2.152925
30431,18.585,6.306645
30556,7.854375,7.502941
30678,-15.93,3.378923
30799,-25.2225,-2.080534
30917,-1.77,-1.529784
31034,3.871875,-0.4720396
31149,3.76125,0.2940515
31380,2.765625,0.8267192
31494,2.43375,1.29865
31723,1.3275,1.540309
31838,0.885,1.697773
32067,0.4425,1.776279
32184,0.553125,1.890694
32307,-14.93438,-1.687267
32433,-1.216875,-1.45016
32560,19.24875,3.180359
32683,20.24438,7.314692
32806,18.91688,11.05223
32924,-10.84125,7.709133
33040,-10.39875,5.57181
33156,-4.978125,4.792885
33375,-21.57188,0.1221089
