Time,Error,Angle
121,-6.526875,23.77107
242,-9.624375,21.84619
362,-17.36813,18.06998
480,-24.11625,12.962
598,-26.1075,7.643466
713,-29.6475,1.563735
830,-28.43063,-4.083267
2349,-0.0,-4.083267
2474,14.71313,-1.140642
2596,22.5675,3.677391
3798,13.16438,6.310266
3922,3.429375,6.996141
4047,-14.71313,3.36608
4165,-24.55875,-1.976511
5675,-4.756876,-2.927886
5798,10.1775,-0.8923864
5920,20.13375,3.520391
7204,9.624375,5.445267
7326,-6.526875,4.139892
7451,-19.80188,-0.3197026
9077,-5.199375,-1.359578
9201,9.735001,0.5874225
9323,20.68688,5.149428
10487,9.624375,7.074303
10611,-2.765625,6.521178
10732,-17.47875,2.459354
12463,-5.53125,1.353104
12586,8.4075,3.034605
13869,10.84125,5.202855
13992,-5.973751,4.008104
14113,-20.24438,-0.5940771
15619,-13.05375,-3.204827
15744,-4.425,-4.089828
15866,17.92125,0.3476081
15987,25.55438,5.809811
17153,8.628751,7.535562
17275,-5.863125,6.362936
17396,-18.91688,2.073436
19010,-15.70875,-1.068314
19133,-5.08875,-2.086064
19256,16.04063,1.934994
20541,13.7175,4.678494
20663,-3.871875,3.904119
20786,-18.91688,-0.4580979
22417,-5.641875,-1.586473
22541,10.73063,0.5596521
22662,22.01438,5.400025
23830,8.739375,7.147901
23953,-4.64625,6.218651
24075,-18.1425,2.070896
25809,-3.208125,1.429271
25932,9.181875,3.265646
26052,19.24875,7.508763
27226,-0.4425,7.420263
27352,-14.82375,4.455513
27473,-23.23125,-0.5192637
28982,-10.50938,-2.621139
29105,-0.553125,-2.731764
29227,17.58937,1.478796
30510,16.3725,4.753297
30632,-1.10625,4.532047
30756,-14.27063,1.175303
30874,-24.78,-4.229631
32269,-5.973751,-5.424381
32392,6.416251,-4.141131
32514,18.585,0.04047489
32635,24.3375,5.161651
33430,-20.02313,0.883307
