Time,Error,Angle
120,-7.854375,24.02129
236,-29.53688,18.11391
1137,-25.2225,13.09315
1259,0.22125,14.11777
1379,15.4875,17.87796
1503,5.08875,18.54432
1624,-12.72188,15.2877
1740,-33.96188,7.592857
2546,-8.518126,6.036887
2666,17.36813,10.53121
3015,9.624375,12.37037
3138,-17.58937,7.816173
3942,-14.04938,5.017955
4064,11.83687,8.374382
4537,0.331875,8.337301
4655,-30.31125,1.05211
5352,-6.305625,-0.05255687
5472,25.33313,6.260095
5938,5.973751,7.271535
6059,-19.69125,2.32688
6756,-12.39,-0.1106963
6877,15.4875,4.070176
7470,-12.39,1.37494
8283,14.38125,4.412134
8868,-4.978125,3.255424
9686,2.43375,3.785491
10270,0.774375,3.926932
10389,-25.00125,-2.097352
11089,14.38125,1.045153
11672,8.518126,2.702756
11793,-16.70438,-1.62656
12490,0.995625,-1.313216
12609,30.975,6.079058
13199,-18.69563,1.941198
14012,15.4875,5.243024
