Time,Error,Angle
115,-6.526875,24.16016
231,-6.85875,22.78841
347,-6.748125,21.44325
464,-5.641875,20.35942
580,-4.314375,19.55295
697,-2.87625,19.03884
814,-2.101875,18.65362
935,2.655,19.36979
1058,2.87625,19.96474
1181,0.774375,20.04057
1305,-1.54875,19.63802
1431,-4.093125,18.71892
1555,-10.06688,16.47136
1677,-16.48313,12.91553
1800,-18.47438,9.128166
1921,-20.7975,4.872886
2040,-20.24438,0.8397913
2159,-21.79313,-3.57884
2279,-20.68688,-7.67672
2402,-13.93875,-10.2064
2525,-11.505,-12.39879
2648,-9.95625,-14.32431
2772,-10.95187,-16.54871
3969,-1.77,-16.90271
4096,2.323125,-16.43808
4224,6.748125,-14.92572
4349,14.49188,-11.7264
4472,22.01438,-7.018023
4594,20.90812,-2.860253
4714,21.46125,1.451971
4835,20.24438,5.454898
4959,18.80625,9.158448
5081,14.6025,11.91368
5202,13.16438,14.4806
5324,11.28375,16.66095
5447,7.633125,18.04355
5570,7.633125,19.56149
5694,5.199375,20.50863
5818,4.756876,21.43747
5941,1.880625,21.70326
6064,-0.110625,21.59776
6188,-2.765625,20.93901
6313,-4.978125,19.85386
6437,-6.85875,18.40603
6562,-10.84125,16.08346
6684,-16.15125,12.63947
6806,-17.7,9.026226
6924,-20.68688,4.766627
7042,-20.57625,0.648046
7162,-16.04063,-2.383055
7283,-14.16,-5.13056
7402,-12.94313,-7.665965
7520,-15.93,-10.96626
9142,-4.093125,-11.78489
9268,3.650625,-11.05476
9392,4.20375,-10.19305
9515,16.04063,-6.531718
9634,23.4525,-1.523411
9757,18.585,2.027058
9880,17.47875,5.470049
10001,14.49188,8.249361
10122,12.72188,10.71835
10243,12.50063,13.20524
11412,5.31,14.26724
11536,-0.774375,14.11237
11662,-8.186251,12.20052
11785,-11.39438,9.782469
11905,-19.69125,5.51136
12023,-21.57188,1.101302
12146,-13.7175,-1.34813
12267,-13.7175,-4.073484
12386,-16.15125,-7.398446
14229,-7.30125,-8.858696
14355,1.438125,-8.571071
14483,9.735001,-6.321171
14605,17.14688,-2.588084
14725,21.6825,1.946081
14846,16.3725,5.028388
14969,12.39,7.341396
15089,12.94313,9.941286
15210,12.50063,12.42482
15330,14.04938,15.29372
16404,1.77,15.64772
16529,-4.64625,14.71847
16653,-4.756876,13.76291
16776,-14.16,10.56887
16896,-20.68688,6.156094
17016,-21.46125,1.816084
