Time,Error,Angle
114,-1.77,26.4208
227,-2.43375,25.93406
341,-2.2125,25.5007
455,-2.655,24.95216
568,-2.544375,24.44667
682,-2.43375,23.96472
795,-1.99125,23.58508
912,-3.76125,22.76374
1030,-3.9825,21.95399
1148,-3.208125,21.34203
1266,-1.880625,21.02048
1384,-1.659375,20.70083
1503,-1.99125,20.29018
1623,-2.101875,19.86471
1744,-1.77,19.52326
1863,-1.99125,19.11715
1982,-3.429375,18.37414
2101,-4.8675,17.34042
2220,-6.084375,16.07185
2338,-6.6375,14.71913
2457,-6.6375,13.39005
2577,-7.633125,11.82411
2696,-8.628751,10.05668
2815,-9.181875,8.195913
2932,-9.403126,6.304964
3051,-7.743751,4.821432
3170,-9.181875,2.932507
3288,-11.28375,0.5890012
3407,-8.960626,-1.11707
3525,-8.85,-2.877242
3643,-8.960626,-4.673137
3761,-6.526875,-5.882141
3881,-9.735001,-7.94758
4002,-10.1775,-10.00774
4124,-6.305625,-11.12141
4246,-3.208125,-11.63483
4369,-3.208125,-12.26872
4492,-4.093125,-13.12092
4614,-3.9825,-13.91522
4734,-3.54,-14.60593
4855,-1.54875,-14.8368
4975,0.4425,-14.66558
5094,1.659375,-14.2806
5213,1.54875,-13.97187
5334,1.54875,-13.66218
5454,1.3275,-13.40533
5575,1.3275,-13.14037
5696,0.4425,-13.08596
5815,-0.0,-13.10552
5933,-0.0,-13.10675
6052,-0.0,-13.10682
6171,-0.0,-13.10683
6290,-0.0,-13.10683
6409,-0.0,-13.10683
6529,-0.110625,-13.13331
6648,-0.110625,-13.15571
6767,-0.110625,-13.17785
6886,-0.110625,-13.19998
7006,-0.110625,-13.2221
7125,0.6637501,-13.05885
