Time,Error,Angle
117,-24.89063,20.35388
1006,-13.93875,17.56613
1129,3.429375,18.92023
1250,4.535625,19.91148
1370,-14.93438,16.16903
2163,-26.21813,10.84756
2288,6.526875,13.38898
2522,8.739375,15.22287
2650,-10.28813,12.47052
3450,-10.39875,10.38324
3803,10.95187,12.86838
3926,-15.15563,8.850843
4735,5.53125,10.07409
5086,9.624375,12.05858
5207,-20.7975,6.732275
5901,-14.04938,3.957288
6020,20.46563,9.411911
6373,4.978125,10.22302
6493,-26.77125,3.626383
7189,5.7525,4.993845
7658,7.411875,6.49728
7776,-29.205,-0.795928
8476,30.75375,5.761961
8943,-4.535625,4.490158
9640,-14.6025,1.494248
9760,21.01875,7.085223
10233,-17.7,3.165658
10929,7.190625,4.776283
11401,-5.199375,3.610194
11521,-22.125,-1.484031
12103,0.995625,-1.097981
12224,24.66937,4.77258
