Time,Error,Angle
120,-18.69563,21.43471
787,-32.3025,14.97421
913,2.323125,16.74096
1033,7.743751,18.58024
1162,-18.80625,13.86659
1739,-28.54125,8.062174
1863,7.633125,10.9641
2219,-24.66937,5.617663
2803,6.416251,7.157934
3159,-10.06688,4.923736
3277,-33.1875,-2.652965
3746,8.628751,-0.5045204
4217,2.323125,-0.09869904
4804,20.57625,4.168908
5162,0.774375,4.056547
6210,-9.95625,2.065297
6795,10.84125,4.233547
7268,-25.00125,-1.139319
7736,-2.544375,-1.418993
8206,7.30125,0.1482939
9268,-12.16875,-2.285456
