Time,Error,Angle
119,-3.871875,24.78847
239,-4.093125,23.96984
359,-4.64625,23.01898
480,-5.420625,21.9035
602,-5.31,20.84385
723,-5.199375,19.80841
845,-4.425,18.95324
970,-3.76125,18.22774
1094,-3.0975,17.63521
1215,-3.9825,16.80631
1337,-5.420625,15.66442
1459,-6.195,14.39235
1580,-7.30125,12.88682
1701,-8.628751,11.10722
1821,-10.28813,8.981403
1941,-10.1775,6.945986
2061,-9.735001,5.016282
2180,-9.181875,3.202596
2301,-10.62,1.023811
2420,-12.94313,-1.658998
2541,-9.513751,-3.433602
2662,-8.85,-5.170218
2787,-9.07125,-6.990838
2911,-8.85,-8.752899
3034,-8.186251,-10.36432
3158,-4.756876,-11.1842
3281,-4.314375,-12.02219
3404,-5.199375,-13.09459
3525,-5.53125,-14.2156
3646,-6.084375,-15.45483
3769,-4.8675,-16.38323
3891,-4.20375,-17.19546
4011,-4.425,-18.08733
4130,-5.31,-19.18434
4250,-4.978125,-20.16918
4370,-5.08875,-21.19061
4488,-1.216875,-21.28173
4606,-0.22125,-21.27644
4723,0.110625,-21.23788
4840,-0.22125,-21.29437
4957,-0.4425,-21.3925
5073,-0.4425,-21.48161
5190,-0.110625,-21.4905
5308,0.553125,-21.35247
5426,1.216875,-21.08124
5543,2.43375,-20.54402
5661,3.76125,-19.73589
5779,5.31,-18.60888
5901,5.7525,-17.43737
6022,4.093125,-16.68228
6143,3.76125,-15.94682
6265,4.093125,-15.11654
6389,3.429375,-14.45511
6514,4.20375,-13.5865
6640,4.314375,-12.71788
6767,4.20375,-11.88089
6890,6.416251,-10.51339
7012,9.403126,-8.512692
7133,8.4075,-6.862386
7254,10.50938,-4.680941
7376,9.735001,-2.759055
7496,8.518126,-1.104541
7617,8.628751,0.6224675
7738,11.83687,3.114307
7858,9.845625,5.013907
7978,9.845625,6.978708
8100,8.075625,8.52547
8223,9.735001,10.53213
8345,8.296875,12.13982
8465,7.743751,13.66394
8586,7.08,15.05268
8708,5.08875,15.99155
8830,4.093125,16.76737
8952,4.425,17.66251
9075,4.535625,18.57448
9196,3.31875,19.19135
9317,2.986875,19.77296
9438,2.101875,20.15777
9558,3.429375,20.89293
9678,2.43375,21.34355
9797,1.54875,21.61648
9918,1.438125,21.89749
10037,-0.0,21.84044
10156,-0.553125,21.70465
10276,-0.885,21.51312
10397,-1.54875,21.17653
10518,-2.2125,20.70685
10641,-3.0975,20.05163
10762,-2.986875,19.45633
10888,-3.429375,18.75393
11012,-3.9825,17.93564
11136,-2.765625,17.42731
11259,-4.425,16.48121
11380,-6.526875,15.09123
11502,-7.08,13.64877
11624,-7.411875,12.15189
11744,-8.075625,10.51014
11865,-9.845625,8.47074
11986,-11.39438,6.126977
12105,-9.624375,4.26723
12226,-9.2925,2.425617
12348,-12.50063,-0.1978531
12468,-12.39,-2.679201
12588,-10.1775,-4.629124
12710,-6.084375,-5.68328
12838,-9.07125,-7.598595
12962,-10.50938,-9.761057
13085,-7.411875,-11.12885
13208,-3.54,-11.68323
13330,-4.64625,-12.64564
13452,-2.655,-13.10206
16452,-0.553125,-13.21268
16573,3.208125,-12.57106
16697,6.526875,-11.13897
16820,4.093125,-10.40557
16943,4.978125,-9.38133
17063,6.416251,-8.040555
17183,9.403126,-6.039639
17302,9.07125,-4.230919
17422,12.27938,-1.650029
17544,6.6375,-0.5335639
17667,10.50938,1.702294
17793,11.72625,4.101325
17917,8.4075,5.661239
18041,6.195,6.808377
18164,5.420625,7.857354
18287,7.633125,9.466317
18409,6.305625,10.68176
18531,6.969376,12.09838
18652,6.748125,13.44083
18774,6.526875,14.73718
18897,4.64625,15.59463
19020,3.76125,16.30843
20907,0.885,16.48543
21030,-1.216875,16.24206
21154,-4.20375,15.28727
21278,-7.30125,13.70371
21401,-0.4425,13.86958
21524,-2.101875,13.40131
21646,-5.973751,12.05466
21767,-8.960626,10.13637
21886,-11.39438,7.753741
22005,-11.61563,5.415518
22126,-7.411875,4.096467
22248,-9.95625,2.017997
22375,-11.83687,-0.4247546
22500,-8.296875,-1.956476
22624,-6.195,-3.107469
22748,-6.526875,-4.420112
22870,-5.7525,-5.541488
22992,-7.965,-7.217828
23112,-10.39875,-9.397861
23234,-8.960626,-11.1408
23355,-4.8675,-11.95256
23475,-4.978125,-12.94241
26469,-0.995625,-13.14153
26591,2.765625,-12.58841
26714,6.084375,-11.24482
26837,4.093125,-10.494
26961,4.8675,-9.495058
27082,6.748125,-8.07152
27202,8.628751,-6.267687
27322,10.50938,-4.08747
27442,10.28813,-2.033617
27563,9.07125,-0.2667816
27687,10.73063,1.939818
27812,10.39875,4.010707
27935,9.181875,5.800083
28058,5.863125,6.844123
28181,6.6375,8.193376
28304,7.854375,9.812401
28427,6.748125,11.12271
28549,6.6375,12.4436
28672,4.8675,13.3486
28793,4.64625,14.26514
28916,4.535625,15.16723
29038,4.978125,16.17957
30925,1.880625,16.5557
31048,-0.553125,16.44507
31172,-3.31875,15.67653
31298,-6.305625,14.29681
31423,-8.85,12.4248
31546,-1.99125,12.28222
31667,-3.650625,11.50353
31787,-7.633125,9.817018
31906,-10.28813,7.644808
32027,-11.28375,5.342735
32150,-8.518126,3.741948
32274,-10.95187,1.465558
32402,-11.28375,-0.8084316
32528,-7.522501,-2.172518
32653,-5.7525,-3.248052
32776,-6.416251,-4.551931
32899,-7.30125,-6.047494
33022,-7.633125,-7.588823
33143,-10.06688,-9.698213
33264,-7.965,-11.21622
33385,-4.756876,-12.03859
33505,-6.416251,-13.3791
36508,0.885,-13.2021
36631,4.8675,-12.2286
36755,8.518126,-10.38665
36879,5.08875,-9.489586
37001,2.87625,-9.007567
37122,6.969376,-7.460745
37241,9.624375,-5.421721
37361,11.17313,-3.120003
37483,8.186251,-1.594421
37606,9.403126,0.3258792
37730,10.84125,2.551014
37855,8.85,4.249536
37977,8.075625,5.830752
38101,6.6375,7.101715
38224,7.08,8.531175
38348,8.739375,10.34322
38470,6.305625,11.51533
38593,6.6375,12.85009
38715,5.641875,13.94031
38836,4.535625,14.80253
38958,4.20375,15.62777
39080,4.756876,16.59947
40850,1.99125,16.99772
40974,-0.331875,16.93135
41098,-3.650625,16.07547
41222,-6.748125,14.6009
41345,-1.438125,14.50694
41470,-2.765625,13.91519
41593,-6.195,12.54291
41714,-8.739375,10.68816
41833,-10.06688,8.616263
41953,-11.39438,6.281877
42074,-7.965,4.818416
42197,-9.845625,2.784868
42321,-11.0625,0.5223744
42448,-9.07125,-1.221571
42572,-6.748125,-2.478931
42695,-6.6375,-3.796601
42819,-6.084375,-4.991925
42941,-7.633125,-6.576818
43062,-8.739375,-8.37118
43183,-9.624375,-10.33353
43303,-5.7525,-11.33622
43424,-5.420625,-12.39818
46537,0.553125,-12.28756
46659,3.871875,-11.51318
46783,7.411875,-9.896673
46909,3.871875,-9.247395
47029,3.650625,-8.533567
47149,7.30125,-6.931682
47269,9.07125,-5.03946
47389,11.61563,-2.611242
47511,8.296875,-1.072191
47634,9.845625,0.9487538
47759,10.28813,3.026271
47883,8.85,4.74338
48007,8.186251,6.352074
48130,6.305625,7.540218
48252,6.748125,8.902399
48377,7.411875,10.41068
48500,6.305625,11.63114
48622,6.416251,12.91616
48743,6.85875,14.30518
48864,5.31,15.30865
48987,3.650625,15.97186
50877,2.87625,16.54711
51001,0.22125,16.59136
51125,-3.76125,15.68821
51249,-7.522501,14.03323
51373,-1.438125,13.96708
51496,-2.43375,13.45577
51619,-5.863125,12.1497
51739,-8.518126,10.3349
51859,-9.624375,8.359488
51979,-12.05813,5.84962
52100,-8.85,4.197034
52223,-9.735001,2.223174
52347,-11.72625,-0.1985667
52473,-8.85,-1.865754
52598,-6.6375,-3.103898
52723,-6.85875,-4.47862
52846,-5.641875,-5.560715
52968,-7.411875,-7.108355
53090,-8.85,-8.938142
53210,-8.960626,-10.73825
53330,-5.08875,-11.6052
53451,-5.199375,-12.64002
56439,-3.0975,-13.25952
56561,1.10625,-13.03827
56685,6.305625,-11.57863
56809,3.650625,-10.93713
56932,5.31,-9.817601
57054,5.863125,-8.61998
57174,8.628751,-6.785457
57294,10.1775,-4.682674
57414,11.72625,-2.272722
57536,9.735001,-0.3983711
57660,9.403126,1.465168
57785,10.62,3.633574
57909,7.411875,4.996161
58032,7.30125,6.444908
58155,6.85875,7.799197
58280,6.416251,9.064628
58402,6.748125,10.42584
58525,7.190625,11.8817
58646,7.522501,13.40005
58768,5.641875,14.45692
58890,3.871875,15.15826
59012,4.314375,16.03359
60904,2.544375,16.54246
61028,-0.0,16.54246
61152,-4.314375,15.51611
61276,-7.30125,13.93375
61399,-0.995625,13.96796
61522,-2.544375,13.41413
61644,-6.084375,12.05831
61765,-8.960626,10.14515
61884,-10.62,7.94878
62003,-11.39438,5.634871
62124,-8.739375,3.987775
62247,-10.84125,1.744829
62373,-11.28375,-0.5328751
62499,-7.08,-1.794368
62625,-6.416251,-3.043409
62748,-6.748125,-4.403546
62871,-6.305625,-5.648416
62993,-8.4075,-7.409788
63114,-9.07125,-9.254942
63234,-8.628751,-10.96544
63355,-4.535625,-11.71168
63475,-5.641875,-12.87302
66464,-1.3275,-13.13852
66585,1.99125,-12.74027
66708,6.195,-11.34077
66833,9.624375,-9.276271
66957,2.544375,-9.027244
67077,2.87625,-8.455161
67197,8.628751,-6.503057
67317,9.95625,-4.445858
67437,12.39,-1.868657
67558,6.748125,-0.731659
67681,10.28813,1.447278
67807,11.28375,3.74873
67931,8.296875,5.297625
68055,6.526875,6.529825
68178,6.6375,7.8571
68300,7.411875,9.369028
68423,7.965,10.98512
68545,6.6375,12.26296
68667,6.195,13.48205
68788,4.535625,14.3236
68910,4.64625,15.2531
69032,4.425,16.12953
70918,1.438125,16.41716
71041,-1.10625,16.19591
71166,-4.314375,15.21147
71291,-7.30125,13.63251
71415,-1.99125,13.42979
71537,-1.77,13.09612
71659,-5.641875,11.81887
71779,-8.518126,9.993601
71899,-11.0625,7.674113
72018,-10.28813,5.640279
72139,-10.06688,3.636873
72262,-10.62,1.492202
72388,-11.17313,-0.7641344
72514,-7.633125,-2.159918
72638,-6.084375,-3.310219
72761,-5.31,-4.338608
72884,-6.195,-5.609355
73006,-7.743751,-7.219636
73127,-10.1775,-9.353295
73248,-8.518126,-10.99818
73368,-4.8675,-11.82652
73488,-5.7525,-13.00277
76477,-0.4425,-13.09127
76599,2.655,-12.56027
76723,6.526875,-11.10707
76846,4.093125,-10.37238
76968,4.64625,-9.427113
77089,7.743751,-7.757277
77209,7.854375,-6.174548
77329,11.0625,-3.834959
77448,10.28813,-1.799865
77569,9.181875,-0.007431507
77692,9.95625,2.010714
77818,10.28813,4.08243
77942,6.969376,5.352344
78065,6.416251,6.606943
78189,7.30125,8.099241
78312,7.190625,9.53509
78434,6.6375,10.84133
78556,7.30125,12.32582
78678,5.973751,13.47098
78800,4.64625,14.34612
78921,4.756876,15.29844
79043,4.756876,16.24988
80931,1.880625,16.626
81055,-1.216875,16.38263
81178,-5.420625,15.13922
81303,-7.743751,13.49284
81427,-1.54875,13.41193
81548,-1.77,13.06343
81669,-6.195,11.6532
81789,-9.735001,9.556055
81908,-10.50938,7.414583
82030,-9.2925,5.600477
82152,-9.624375,3.665551
82276,-11.72625,1.240053
82403,-10.28813,-0.7686613
82529,-8.296875,-2.350807
82652,-6.85875,-3.662956
82775,-6.084375,-4.846644
82898,-6.526875,-6.166897
83019,-8.4075,-7.921664
83139,-9.624375,-9.898645
83260,-7.190625,-11.24562
83380,-3.76125,-11.8582
86470,-3.76125,-12.61045
86591,0.110625,-12.58833
86714,5.53125,-11.27352
86838,8.4075,-9.470462
86961,4.314375,-8.755348
87082,3.9825,-7.981006
87201,8.296875,-6.153106
87320,10.62,-3.927848
87440,8.4075,-2.327136
87561,8.628751,-0.5978204
87685,9.95625,1.444331
87811,10.73063,3.622147
87935,8.518126,5.243224
88058,7.522501,6.704695
88181,6.084375,7.864483
88304,7.522501,9.420818
88427,6.305625,10.63863
88548,7.190625,12.10816
88670,7.190625,13.54822
88791,5.420625,14.56436
88914,4.425,15.40689
89036,4.20375,16.23653
90923,1.216875,16.47991
91046,-1.3275,16.21441
91170,-3.9825,15.31654
91295,-7.08,13.77799
91419,-0.774375,13.85465
91541,-2.544375,13.29226
91663,-6.084375,11.93591
91784,-9.624375,9.864038
91904,-10.39875,7.744887
92023,-11.39438,5.424657
92146,-8.628751,3.801987
92270,-10.62,1.608223
92397,-11.28375,-0.6770201
92523,-8.186251,-2.199491
92647,-6.416251,-3.408753
92770,-6.969376,-4.819125
92893,-6.416251,-6.082259
93015,-7.743751,-7.680852
93136,-9.624375,-9.681719
93258,-6.416251,-10.84527
93378,-5.08875,-11.80417
96479,-3.429375,-12.49004
96602,0.6637501,-12.35729
96725,5.53125,-11.0652
96849,9.07125,-9.106701
96973,3.0975,-8.704853
97094,3.871875,-7.913885
97215,8.186251,-6.107017
97335,11.505,-3.666874
97455,10.50938,-1.595488
97576,7.190625,-0.2869158
97702,10.95187,2.036153
97827,10.84125,4.208184
97951,6.85875,5.428111
98074,5.973751,6.580172
98198,7.08,8.035515
98321,7.08,9.453905
98444,6.969376,10.84367
98566,7.965,12.47443
98689,5.863125,13.5685
98810,4.64625,14.44613
98932,4.20375,15.26653
99054,4.756876,16.23779
