Time,Error,Angle
114,-18.91688,21.30709
230,-20.13375,17.28034
347,-17.03625,13.99803
464,-2.655,14.0458
581,4.093125,15.17377
698,-3.650625,14.15349
820,-14.82375,10.7411
943,-3.54,10.43672
1057,-13.16438,7.438593
1170,-12.16875,5.02197
1283,-6.6375,3.926156
1404,-20.24438,-0.6359937
1520,-0.553125,0.01470309
1634,2.655,0.7269055
1872,-25.665,-4.975942
2101,9.07125,-2.450866
2225,-5.199375,-3.988601
2341,7.411875,-2.025619
2455,7.08,-0.5920095
2577,4.8675,0.297445
2703,-18.36375,-4.253969
2933,8.075625,-2.11268
3059,-5.53125,-3.695553
3175,-14.38125,-6.959377
3288,9.735001,-4.048953
3402,10.1775,-1.932448
3527,-13.05375,-5.418567
3642,8.518126,-2.901008
3756,7.965,-1.277575
3877,-13.49625,-4.807051
3993,25.44375,1.811438
4106,4.8675,2.041173
4352,-11.505,-0.6068468
4583,2.655,0.207697
4824,27.98812,6.323169
5057,-5.973751,4.437929
5177,-27.76688,-2.009964
5290,-1.3275,-1.241395
5404,4.20375,-0.1064032
5644,27.76688,5.929613
5877,-5.53125,4.145535
5998,-22.125,-0.9646716
6343,2.765625,-0.07439458
6466,20.02313,4.609614
6820,-9.513751,2.314867
7163,-2.43375,1.920096
7288,6.305625,3.517911
7641,-7.854375,1.758835
7756,-2.43375,1.480331
8217,-1.3275,1.23016
8332,-0.885,1.072301
8456,7.633125,2.92284
