Time,Error,Angle
119,-13.49625,22.95888
235,-32.19188,16.52051
1258,-23.4525,11.83001
1384,3.429375,12.51588
1735,6.969376,13.95907
1861,-7.411875,11.94284
1978,-30.31125,4.93785
2900,-0.331875,5.02476
3018,19.47,9.708229
3609,-16.815,6.052816
4529,-14.04938,3.255349
4648,15.70875,7.560681
5235,0.22125,7.490145
5354,-26.32875,1.179804
6169,-8.4075,-0.402914
6290,19.24875,4.533659
6996,-14.6025,1.388519
7807,0.774375,1.635204
7930,12.05813,4.479918
8636,-9.07125,2.522521
9561,0.995625,2.774433
10264,4.8675,3.775715
10384,-22.45687,-1.781643
11199,9.95625,0.39623
12024,-7.633125,-1.234196
12841,-3.650625,-1.941185
12961,23.67375,3.871137
13543,11.9475,6.175934
13664,-16.70438,1.71893
14591,10.62,3.979557
15297,-10.1775,1.799728
16227,3.9825,2.670486
