Time,Error,Angle
537,-26.88188,12.47914
648,-30.75375,-2.897731
758,-33.07688,-19.63146
870,-9.2925,-22.30793
1412,34.73625,-4.110722
1524,23.56313,6.794419
1636,-0.0,4.771994
1746,10.95187,11.03995
1857,4.314375,12.69215
1968,-27.54563,-3.815699
2187,-8.518126,-7.332287
2299,19.13812,4.591528
2412,32.85563,22.30833
2949,-33.29813,4.464169
3060,-15.59813,-1.938656
3172,5.641875,2.761192
3284,-13.49625,-5.457695
3397,-27.435,-20.41408
3942,28.7625,-5.032542
4054,23.01,6.059271
4165,15.4875,13.14852
4277,9.624375,17.42852
4388,-15.37687,7.602789
4713,-31.4175,-8.638805
5042,34.515,10.5686
5154,8.296875,12.66077
5372,-31.74938,-5.050491
5592,34.73625,15.1701
6026,-32.3025,-2.449974
6136,-8.296875,-4.678673
