Time,Error,Angle
646,-26.66063,10.41137
758,-23.12063,-1.148943
869,-20.90812,-11.41702
980,-9.845625,-15.40529
1092,8.739375,-9.410767
1204,27.8775,6.231178
1316,34.9575,24.41312
1428,6.195,25.17899
2074,-26.43937,11.43109
2185,-23.56313,-0.1457376
2296,-23.67375,-11.97822
2408,-16.815,-19.81366
2520,8.960626,-13.12829
2633,35.28938,6.819118
2853,10.84125,11.24764
2964,-7.30125,6.005531
3075,-32.85563,-12.67694
3186,-34.62563,-30.28937
3411,-3.9825,-30.97546
3530,-2.986875,-32.30867
3649,-2.2125,-33.34388
3769,-0.6637501,-33.5503
3890,1.3275,-32.7244
4011,1.77,-31.79473
4131,1.77,-30.90698
4251,1.54875,-30.14972
4373,0.6637501,-29.88753
4493,-0.110625,-30.00769
4613,-0.110625,-30.06704
4733,-0.0,-30.05871
4853,-0.0,-30.05819
4974,-0.22125,-30.18608
5094,-0.0,-30.16986
5213,-0.0,-30.16885
5334,-0.110625,-30.23274
5454,-0.110625,-30.28858
5575,-0.110625,-30.34393
5695,-0.22125,-30.4632
5815,-0.0,-30.44658
5935,-0.110625,-30.50956
6054,-0.6637501,-30.88514
6174,-0.774375,-31.28378
6294,-0.553125,-31.54377
6414,-0.331875,-31.69138
6534,-0.22125,-31.7923
6654,-0.110625,-31.83836
6774,-0.22125,-31.95705
6894,-0.22125,-32.06818
7014,0.22125,-31.923
7134,0.22125,-31.81021
7254,0.110625,-31.76341
