Time,Error,Angle
110,-25.88625,11.09483
221,-23.4525,-0.631422
332,3.0975,3.149213
445,20.24438,14.83583
557,7.854375,17.82612
668,-18.80625,6.119138
779,-21.79313,-5.182631
890,4.20375,-0.9404664
1002,17.03625,8.789392
1115,3.31875,9.394413
1226,-19.69125,-2.456043
1339,-14.82375,-9.595147
1450,4.64625,-5.61706
1561,9.513751,-0.3446293
1673,-1.659375,-2.071538
1785,-13.60688,-9.939343
1897,-7.633125,-13.32853
2008,5.863125,-9.243528
2120,4.978125,-6.751725
2232,-1.3275,-7.945364
2343,-4.535625,-10.51577
2456,-1.3275,-10.9342
2568,0.774375,-10.35552
2680,2.101875,-9.181212
2792,2.986875,-7.605815
2904,1.438125,-7.010423
3015,1.77,-6.105798
3127,2.544375,-4.767755
3239,3.31875,-3.039457
3351,-0.22125,-3.443056
3462,1.77,-2.411495
3574,4.20375,-0.09701371
3687,4.8675,2.406172
3800,3.54,4.071854
3913,2.323125,5.12595
4025,1.880625,6.021875
4137,2.655,7.410985
4248,4.535625,9.839659
4359,3.9825,11.79517
4471,-0.331875,11.26416
4582,-1.3275,10.49229
4693,0.110625,10.66127
4804,0.995625,11.2404
4916,1.54875,12.06628
5029,1.216875,12.65046
5141,0.4425,12.80555
5252,-2.765625,11.15091
5363,-5.863125,7.940779
5474,-7.190625,4.214133
5585,2.765625,6.425117
5696,2.655,7.798718
5807,-3.208125,5.708948
5919,-6.526875,2.134033
6030,-5.7525,-0.6983256
6142,-2.544375,-1.700164
6254,-0.22125,-1.599192
6367,-2.43375,-2.98647
6479,-5.08875,-5.761554
6591,-4.425,-7.933691
6702,-1.438125,-8.398966
6813,-0.995625,-8.843055
6925,-0.4425,-9.014214
7036,-0.110625,-9.038277
7147,-1.54875,-9.930465
7259,-1.659375,-10.77719
7371,-1.54875,-11.5434
7483,0.774375,-10.96362
7595,2.655,-9.465143
7707,3.208125,-7.803628
7819,1.880625,-6.970169
7930,-0.110625,-7.198565
8042,1.99125,-6.037828
8154,3.871875,-3.934163
8265,4.756876,-1.470823
8377,-2.43375,-3.281495
8489,-0.22125,-3.245852
8600,4.8675,-0.3745391
8712,8.075625,3.957288
8825,6.748125,7.240191
8936,-3.0975,4.864635
9048,-3.208125,3.195964
9158,2.323125,4.81818
9270,7.30125,8.918099
9381,8.739375,13.43748
9492,-0.0,12.71283
9603,-5.973751,9.170636
9714,-3.54,7.568077
9824,5.420625,11.04285
9937,5.420625,13.80388
10048,-1.438125,12.51164
10159,-4.8675,9.751259
10270,-3.31875,8.200227
10381,0.553125,8.809521
10492,0.995625,9.36679
10603,-1.438125,8.448788
10715,-4.978125,5.648832
10826,-4.64625,3.332749
10938,-3.208125,1.850051
11049,-2.87625,0.4476437
11162,-2.986875,-1.052647
11275,-2.544375,-2.288998
11388,-3.208125,-3.946015
11500,-4.314375,-6.198936
11611,-2.655,-7.394457
11723,-1.99125,-8.325456
11834,-1.880625,-9.252259
11946,-1.3275,-9.868608
12057,-0.331875,-9.948403
12169,-0.331875,-10.10858
12281,-0.774375,-10.53197
12393,-1.216875,-11.18003
12504,-0.22125,-11.21028
12616,1.659375,-10.21849
12728,2.986875,-8.603635
12839,3.429375,-6.843627
12951,2.323125,-5.771278
13062,0.885,-5.45564
13173,1.99125,-4.375506
13285,1.3275,-3.7619
13397,1.438125,-3.036942
13508,4.20375,-0.7041259
13620,6.416251,2.70376
13732,4.314375,4.698981
13844,-1.438125,3.48963
13956,-0.995625,2.996218
