Time,Error,Angle
428,-33.29813,6.571972
539,-18.36375,-2.609903
651,-7.854375,-5.661001
762,-14.27063,-13.27307
873,-4.093125,-14.49597
1312,12.94313,-7.627697
1424,12.39,-1.452326
1536,28.98375,14.42155
1651,27.8775,28.35977
2188,-27.32438,13.68647
2619,-26.66063,0.3529453
2731,-2.986875,0.8493905
2843,11.28375,7.812908
2957,-20.24438,-4.80821
3068,-30.975,-21.35602
3504,34.40438,-2.700188
3617,25.00125,9.113
3729,3.0975,8.805664
3840,7.965,13.07318
3952,-12.16875,5.315357
4170,-33.51937,-12.44816
4608,19.58063,-1.485064
4721,5.199375,0.002832413
4833,8.4075,4.400267
4947,27.54563,19.75496
5058,6.084375,21.09886
5487,-22.01438,9.41923
