Time,Error,Angle
110,-16.92563,10.87947
221,-17.14688,2.30603
332,-13.16438,-3.944166
445,-6.969376,-6.890398
556,-4.314375,-8.790538
668,-3.429375,-10.41363
780,2.765625,-8.508313
891,10.28813,-2.702492
1004,15.4875,5.518591
1116,15.37687,13.22947
1227,5.199375,14.98223
1338,-1.54875,13.58392
1450,-3.0975,11.86324
1561,-6.416251,8.367051
1673,-11.9475,1.909054
1785,-12.94313,-4.676679
1898,-12.50063,-10.89792
2009,-4.535625,-12.49422
2120,5.7525,-8.708195
2232,8.075625,-4.416368
2345,10.39875,0.9917798
2457,9.403126,5.624194
2572,10.39875,10.90069
2684,7.965,14.68543
2795,3.0975,15.81177
2906,-3.650625,13.39093
3017,-9.845625,7.907504
3127,-16.92563,-1.187982
3238,-15.26625,-8.723938
3350,-3.31875,-9.380892
3461,3.208125,-7.1611
3573,0.6637501,-7.000484
3685,2.101875,-5.841022
3798,10.28813,-0.007331848
3910,17.03625,9.114055
4023,13.05375,15.35137
4134,1.3275,15.00148
4245,-4.093125,12.43143
4356,-3.650625,10.6083
4467,-7.633125,6.45989
4578,-12.16875,-0.02796459
4690,-14.16,-7.302347
4801,-11.17313,-12.65281
4914,2.101875,-10.48885
5025,8.518126,-5.615958
5138,9.403126,-0.8008456
5251,6.748125,2.359421
5363,6.526875,5.590233
5476,12.05813,12.07071
5588,10.95187,17.48384
5699,1.216875,17.26972
5809,-9.624375,11.49116
5920,-13.60688,4.288291
6031,-15.26625,-3.511048
6144,-11.28375,-8.834611
6256,-2.2125,-9.157006
6367,1.438125,-8.078623
6479,2.101875,-6.948517
6591,7.08,-2.988275
6703,12.16875,3.544453
6815,12.16875,9.658571
6928,9.403126,14.13156
7039,3.0975,15.13494
7150,-1.99125,13.67506
7260,-6.748125,9.87006
7373,-13.16438,2.724409
7485,-15.15563,-5.056778
7598,-9.181875,-9.167225
7709,-0.6637501,-8.757132
7821,1.54875,-7.747132
7933,2.2125,-6.569919
8045,7.854375,-2.171629
8157,13.05375,4.823839
8269,12.16875,10.86588
8381,7.743751,14.36606
8492,3.54,15.75782
8604,-3.871875,13.17351
8714,-8.85,8.286657
8825,-13.49625,1.117057
8937,-13.16438,-5.465427
9049,-9.624375,-9.98497
9161,-1.216875,-9.867067
9272,3.54,-7.648599
9384,4.425,-5.333428
9497,9.07125,-0.4036679
9609,13.7175,6.865134
9722,10.06688,11.62374
9835,5.53125,13.99631
9946,2.43375,14.9265
10057,-1.880625,13.60433
10168,-9.95625,7.921796
10279,-14.6025,0.1828446
10390,-13.05375,-6.243118
10502,-7.30125,-9.407505
10614,-2.323125,-10.11806
10725,1.659375,-8.926464
10837,6.748125,-5.100413
10949,11.39438,1.010633
11061,13.60688,8.025965
11175,11.0625,13.3608
11286,1.659375,13.38689
11397,1.216875,13.90513
11508,-1.10625,13.15068
11620,-9.2925,7.802803
11730,-17.2575,-1.542449
11842,-13.60688,-8.089092
11954,-2.43375,-8.349537
12065,1.10625,-7.434846
12176,-0.0,-7.503081
12289,4.20375,-5.058156
12401,11.83687,1.519357
12514,15.045,9.350445
12627,9.845625,13.86371
12738,2.43375,14.43012
12849,-0.885,13.66512
12960,-4.535625,11.06606
13071,-10.50938,5.291415
13182,-15.15563,-2.711761
13294,-13.60688,-9.414309
13406,-4.093125,-10.65436
13516,4.314375,-7.736461
13628,3.31875,-6.109619
13740,5.7525,-3.032643
13852,10.84125,2.82551
13964,12.61125,9.307711
14076,9.2925,13.68901
14187,3.208125,14.76388
14298,0.4425,14.71724
