Time,Error,Angle
646,-26.43937,10.12094
757,-15.26625,2.487815
869,3.54,5.838734
982,-10.39875,-0.4089985
1096,-24.22688,-13.71491
1208,-12.16875,-18.87319
1320,32.745,1.304874
1541,30.20063,16.42633
1656,20.68688,25.99106
1767,-30.20063,6.560873
1985,-32.745,-10.07555
2209,34.18312,9.892313
2430,10.95187,14.45357
2541,-1.77,12.43793
2652,-32.41312,-6.442707
2873,0.22125,-4.999679
2985,16.48313,4.685906
3098,32.3025,22.24
3212,14.82375,28.31023
3322,-26.55,11.46746
3540,-35.17875,-6.631693
3761,3.9825,-2.947747
3874,27.10313,12.61005
3987,30.975,28.54965
4098,-0.4425,25.71758
4208,-34.0725,5.62829
4428,-29.31563,-8.927427
4540,-16.92563,-16.3592
4652,31.63875,3.57703
4875,25.44375,16.17252
4989,19.9125,25.66699
5101,-32.745,4.837025
5321,-29.31563,-9.825932
5434,-15.15563,-16.23343
5547,34.73625,5.371458
5769,21.01875,15.43287
5882,4.756876,16.43741
5993,-33.85125,-3.853947
6213,-4.64625,-5.018489
6325,12.94313,3.009202
6437,26.77125,17.64042
6552,25.2225,30.20596
6663,-21.24,15.6771
7203,-27.65625,1.675114
7314,-5.420625,0.8223742
7427,28.87313,18.19208
7540,17.92125,26.44025
8079,-33.96188,8.49861
8190,-17.14688,1.263185
