Time,Error,Angle
326,-34.515,0.5154552
438,-10.84125,-4.90517
552,3.208125,-2.14912
665,-15.4875,-11.36271
999,30.86438,5.394629
1113,-6.748125,-0.9770274
1337,28.43063,14.64598
1668,-34.18312,-4.259775
1781,-0.0,-1.530528
1893,14.49188,7.104544
2007,-20.7975,-6.074344
2341,21.46125,5.830808
2454,-13.82813,-3.900191
2566,-20.46563,-14.87319
2898,13.93875,-6.909125
3012,22.125,4.8956
3124,34.9575,23.48409
3558,-30.5325,6.752689
3669,-29.6475,-8.094677
3781,-30.975,-23.69348
3893,1.3275,-20.34429
4333,32.745,-3.22106
