Time,Error,Angle
541,-17.36813,8.286797
653,-5.53125,5.521172
764,-9.07125,0.6879621
876,-25.00125,-13.16037
989,-21.57188,-23.75146
1100,21.24,-9.519506
1535,22.34625,1.74328
1648,-6.526875,-3.921151
1761,-21.24,-15.9155
1872,14.16,-5.975628
2201,26.55,7.73591
2530,-28.43063,-8.100771
2968,18.1425,1.985887
3080,-2.87625,-1.123129
3194,-21.57188,-13.56463
3740,18.80625,-3.457651
3853,4.535625,-2.323335
3964,-1.54875,-3.68501
4077,22.78875,9.699244
4190,32.85563,27.08234
4301,-6.195,20.76601
4839,-26.55,7.071265
4951,-20.24438,-2.553114
5063,-7.522501,-5.211618
5175,-8.85,-9.674129
5286,-12.8325,-16.42486
5398,19.80188,-3.825622
5618,34.0725,13.93402
6163,-31.63875,-3.061181
6274,-7.854375,-5.067629
6386,33.07688,15.01037
6929,-19.35938,4.430074
7043,-6.084375,2.417613
