Time,Error,Angle
111,-23.895,12.66865
222,-18.36375,3.486775
333,0.553125,5.353556
445,16.70438,15.16985
557,12.50063,21.16895
668,-9.513751,14.54466
779,-18.585,4.364682
890,-7.743751,1.344791
1002,13.16438,9.741583
1115,14.49188,17.21665
1226,-6.85875,12.02263
1337,-16.3725,2.918575
1448,-9.181875,-1.129291
1561,10.28813,5.660154
1675,14.16,13.1685
1787,-5.199375,8.99649
1898,-16.815,-0.4926414
2010,-10.06688,-5.035291
2122,11.17313,2.354454
2234,15.37687,10.5169
2346,-7.411875,4.942674
2457,-18.03188,-5.082514
2570,-9.845625,-9.394938
2682,13.05375,-0.9022303
2794,11.505,4.851561
2908,-7.190625,-0.2893
3021,-15.15563,-8.627288
3133,-5.863125,-10.84062
3245,12.39,-3.076343
3358,6.416251,-0.2621026
3470,-7.522501,-5.211454
3582,-8.85,-9.824368
3694,0.553125,-8.776402
3806,5.199375,-5.738216
3919,1.216875,-5.432682
4031,-3.871875,-7.812925
4143,-4.64625,-10.23008
4255,-1.880625,-10.94793
4366,2.544375,-9.288882
4479,2.765625,-7.862327
4592,1.77,-7.057423
4704,-2.323125,-8.562648
4816,-2.101875,-9.617939
4928,-1.438125,-10.28196
5042,-0.0,-10.15944
5154,1.10625,-9.5068
5266,1.438125,-8.753469
5378,1.880625,-7.773995
5491,1.880625,-6.831085
5603,-1.10625,-7.630975
5715,-0.6637501,-7.942332
5827,0.331875,-7.691326
5939,1.880625,-6.616262
6051,2.765625,-5.151419
6164,1.54875,-4.473044
6276,-2.2125,-5.89921
6388,-1.216875,-6.445873
6500,1.10625,-5.694988
6612,3.54,-3.708985
6725,2.986875,-2.247065
6837,0.995625,-1.917339
6949,1.77,-0.9793774
7062,2.323125,0.2318085
7174,1.880625,1.138803
7288,0.553125,1.303424
7403,0.995625,1.82998
7518,1.880625,2.843533
7632,1.54875,3.595475
7747,1.54875,4.368386
7860,0.885,4.755915
7971,0.774375,5.130234
8084,2.101875,6.290982
8197,3.208125,7.993727
8309,0.6637501,8.120042
8421,-0.0,8.051643
8533,1.10625,8.693188
8645,2.323125,9.96117
8757,2.101875,11.00072
8869,1.3275,11.59916
8981,-0.110625,11.41963
9093,-0.6637501,11.03341
9204,0.110625,11.15018
9317,0.995625,11.72585
9428,1.438125,12.48696
9541,1.216875,13.07975
9653,-0.774375,12.52552
9765,-1.54875,11.67551
9877,-1.3275,11.02519
9990,-0.995625,10.55547
10102,-0.4425,10.38219
10214,0.22125,10.55182
10326,0.553125,10.85996
10437,-0.0,10.81558
10549,-0.553125,10.48996
10661,-1.3275,9.758963
10773,-1.216875,9.155286
10885,0.331875,9.451735
10997,-0.4425,9.174589
11108,-1.659375,8.239752
11220,-1.880625,7.273806
11332,-0.6637501,7.041673
11444,-1.10625,6.458276
11556,-2.101875,5.323035
11668,-1.99125,4.33104
11780,-0.774375,4.045535
11893,-1.3275,3.342421
12005,-2.101875,2.224318
12117,-1.99125,1.23342
12231,-1.10625,0.7537715
12344,-0.995625,0.2698242
12460,-1.3275,-0.4200195
12573,-1.659375,-1.278622
12687,-1.99125,-2.303346
12800,-1.99125,-3.300901
12912,-1.54875,-4.03882
13025,0.6637501,-3.520087
13137,-0.553125,-3.885695
13249,-2.2125,-5.136183
13361,-3.0975,-6.767588
13473,-1.99125,-7.676476
13585,-0.22125,-7.633796
13697,0.22125,-7.476113
13809,-0.995625,-8.072246
13922,-1.880625,-9.092856
14035,-0.553125,-9.264953
14146,0.995625,-8.631102
14258,0.331875,-8.511472
14370,-0.331875,-8.735813
14482,-0.774375,-9.163763
14594,-1.216875,-9.811792
14708,-0.995625,-10.29405
14820,-0.22125,-10.33909
14932,1.10625,-9.670946
15045,1.216875,-9.045657
15157,1.438125,-8.307033
15269,1.438125,-7.586683
