Time,Error,Angle
750,-33.29813,10.64033
861,-14.16,3.560329
972,11.17313,11.25873
1083,2.544375,11.94188
1193,-24.44813,-2.590674
1305,-33.51937,-20.26735
1418,-2.323125,-18.93079
1531,33.63,1.047079
1753,17.7,9.313795
1868,24.44813,22.04892
1979,-2.2125,18.73568
2089,-30.31125,1.049059
2309,-17.47875,-7.215736
2422,-20.13375,-17.46935
2534,15.26625,-6.897568
2646,34.73625,12.28857
2759,30.975,27.58313
2870,-4.20375,22.5111
2980,-25.665,7.658823
3090,-26.1075,-5.56724
3203,-10.06688,-9.274919
3314,2.765625,-6.724674
3426,1.438125,-6.038556
3538,5.420625,-2.998437
3651,18.69563,7.477894
3763,21.6825,18.643
3874,7.30125,21.11625
3985,-13.05375,12.78433
4095,-25.55438,-1.164455
4206,-24.22688,-13.24467
4318,-2.655,-12.75655
4428,12.50063,-5.11074
4541,15.37687,2.910043
4652,14.71313,10.23332
4765,9.624375,14.61909
4876,4.535625,16.4306
4986,-5.641875,12.72358
5097,-18.03188,2.59749
5208,-29.31563,-13.07461
5321,-19.13812,-21.86899
5433,20.355,-8.347851
5546,33.85125,9.913536
5658,19.69125,18.66736
5769,-7.08,12.80384
5881,-4.425,10.65853
5991,-1.3275,10.2619
6102,-10.28813,4.376213
6213,-23.4525,-8.496654
6327,-23.12063,-20.10497
6439,12.27938,-11.01742
6551,31.4175,6.482287
6663,26.9925,19.72847
6775,0.110625,17.52624
6885,-11.505,10.63672
6995,-7.522501,7.134187
7106,-9.181875,2.421064
7217,-19.24875,-8.057741
7330,-19.58063,-17.9324
7442,4.756876,-13.53072
7554,29.42625,3.373127
7666,33.85125,20.80871
7779,8.739375,23.11883
7889,-17.58937,11.97308
7999,-20.46563,1.337825
8110,-9.403126,-2.460708
8222,-5.31,-4.711217
8334,-9.95625,-10.04983
8446,-6.85875,-13.24491
8557,15.81938,-3.413143
8669,31.86,13.96944
8781,25.665,26.38188
8892,-6.305625,20.5134
9003,-26.1075,5.597718
9112,-32.3025,-11.20433
9224,-14.49188,-17.0087
9336,16.3725,-6.13145
9448,16.3725,2.231841
9560,3.650625,2.999552
9672,2.765625,4.238429
9785,19.24875,15.20496
9898,17.2575,23.75738
