Time,Error,Angle
110,-29.205,5.685567
328,-33.85125,-11.24006
441,-32.745,-27.5211
666,-9.845625,-31.45781
784,-6.6375,-34.45702
902,-2.43375,-35.32276
1021,1.880625,-34.02061
1142,2.655,-32.61008
1263,2.655,-31.27746
1384,2.544375,-30.01354
1504,0.774375,-29.76519
1624,-0.0,-29.83381
1744,-0.0,-29.83807
1864,-0.0,-29.83834
1984,-0.0,-29.83836
2104,-0.0,-29.83836
2224,0.110625,-29.7744
2344,-0.331875,-29.97438
2464,-0.22125,-30.07848
2584,-0.110625,-30.12474
2705,-0.110625,-30.17949
2825,-0.110625,-30.23477
2946,-0.110625,-30.29008
3065,-0.110625,-30.34539
3185,-0.110625,-30.40071
3306,-0.110625,-30.45602
3426,-0.110625,-30.51133
3547,-0.110625,-30.56664
3668,-0.110625,-30.62196
3788,-0.22125,-30.74123
3908,-0.110625,-30.78843
4028,-0.110625,-30.84324
4148,-0.0,-30.83456
4268,-0.0,-30.83402
4388,0.110625,-30.77003
4508,0.110625,-30.71418
4628,-0.0,-30.72279
4748,-0.22125,-30.8511
4868,-0.110625,-30.89881
4988,0.110625,-30.82587
5108,0.22125,-30.70551
5229,-0.0,-30.72219
5348,0.22125,-30.59531
5468,0.22125,-30.48368
5590,0.110625,-30.43688
5710,0.22125,-30.31814
5830,0.22125,-30.20701
5950,0.22125,-30.09636
6070,0.22125,-29.98573
6190,0.22125,-29.8751
6311,0.22125,-29.76448
