Time,Error,Angle
110,-29.86875,3.58535
328,-32.52375,-12.67653
442,-20.57625,-21.97691
553,29.75813,-2.836313
777,32.52375,13.69099
999,-32.41312,-5.330248
1219,-13.49625,-11.34679
1255,-10.50938,-15.78955
1368,16.3725,-5.308491
1587,34.84688,13.00549
1700,32.63438,29.19835
2347,-34.29375,11.02653
2459,-18.69563,2.900838
2570,-3.76125,2.357402
2681,-8.518126,-2.212088
2794,-24.44813,-15.78471
2907,-12.16875,-20.94263
3020,30.42188,-2.149626
3242,27.435,11.56197
3357,26.55,24.76461
4004,-34.29375,6.687885
4117,-19.13812,-1.679448
4229,10.1775,5.911988
4342,3.208125,7.104518
4453,-32.745,-12.34371
4566,-32.41312,-28.72375
4792,-7.633125,-31.48253
4910,-5.7525,-34.14264
5029,-4.093125,-36.04496
5147,0.553125,-35.39338
5268,3.31875,-33.49641
5389,3.871875,-31.50291
5510,2.655,-30.26694
5630,1.880625,-29.39283
5749,-0.331875,-29.73719
5868,-1.659375,-30.68172
5988,-1.54875,-31.45458
6107,-1.438125,-32.1649
6227,-0.885,-32.56363
6347,-0.0,-32.49174
6468,0.6637501,-32.10353
6588,0.553125,-31.83211
6708,0.774375,-31.42795
6829,0.774375,-31.03972
6950,0.4425,-30.84414
7071,0.22125,-30.7524
7191,0.22125,-30.64295
7311,0.331875,-30.46851
7432,0.22125,-30.366
7552,0.110625,-30.31984
7672,0.22125,-30.20113
7792,-0.110625,-30.28168
7912,-0.110625,-30.33857
8032,-0.22125,-30.45793
8153,-0.110625,-30.50514
8274,-0.110625,-30.55996
8395,-0.22125,-30.67913
