Time,Error,Angle
110,-28.7625,4.399317
221,-35.06813,-13.13475
334,-22.01438,-23.05374
446,10.39875,-15.08013
561,31.4175,2.502358
674,20.46563,11.95301
786,-6.748125,6.258453
897,-3.871875,4.409072
1008,12.8325,12.23534
1120,5.973751,14.73997
1231,-15.93,4.901403
1342,-29.97938,-11.39466
1454,-24.00563,-22.98955
1566,6.85875,-16.93832
1681,28.65188,-0.6702862
1794,24.78,11.52738
1907,-0.4425,9.208246
2018,-2.544375,7.619029
2129,7.30125,12.06938
2241,1.659375,12.47829
2352,-12.8325,4.815655
2463,-25.55438,-9.104746
2578,-19.24875,-18.28668
2689,1.880625,-15.55562
2802,22.89938,-2.250423
2916,29.97938,13.44667
3029,7.411875,15.34833
3140,-9.735001,8.918701
3251,-3.650625,7.500363
3362,1.99125,8.997489
3473,-7.743751,4.340804
3585,-24.11625,-9.146151
3697,-26.9925,-22.97419
3810,0.22125,-20.61697
3925,32.63438,-1.540701
4148,14.93438,5.255178
4262,23.78438,17.82922
4374,13.38563,23.69349
4484,-23.01,9.073526
4595,-33.29813,-8.648769
4706,-22.01438,-18.7792
4818,5.7525,-13.53007
4931,19.24875,-2.6338
5043,7.965,0.4924316
5156,-1.216875,-0.9382348
5268,12.94313,6.659199
5382,21.57188,18.21977
5494,2.765625,18.08623
5604,-19.47,6.363881
5716,-25.77563,-7.186949
5828,-18.25313,-15.7304
5939,1.216875,-13.46021
6050,12.72188,-6.020955
6163,10.39875,-0.9437089
6274,7.190625,2.376064
6386,13.93875,9.889703
6499,16.815,18.5708
6610,-2.544375,15.6895
6721,-19.0275,4.669818
6832,-24.66937,-8.235091
6945,-14.38125,-14.6059
7057,4.314375,-10.83581
7168,7.190625,-6.890812
7279,6.526875,-3.659509
7390,12.50063,3.090828
7502,17.81063,12.47597
7615,14.49188,19.4791
7726,-8.186251,13.46333
7836,-17.58937,3.749568
7948,-21.01875,-7.109575
8060,-15.37687,-14.35089
8172,-0.774375,-13.49112
8282,10.84125,-7.010624
8395,11.39438,-1.197017
8506,11.61563,4.636962
8619,13.93875,11.80012
8731,11.505,17.36259
8842,-3.9825,14.0567
8953,-16.04063,4.934791
9065,-23.12063,-7.294383
9177,-18.25313,-16.05955
9288,-0.22125,-14.64301
9400,14.82375,-5.87564
9513,14.49188,1.432553
9624,7.522501,4.616947
9738,9.07125,9.242661
9850,10.39875,14.55868
9961,1.216875,14.40943
10073,-13.16438,6.567616
10184,-27.10313,-8.22948
10296,-21.24,-18.44334
10408,9.624375,-11.00942
10521,18.47438,-0.8680859
10632,11.17313,4.169805
10744,1.659375,4.170002
10855,8.296875,8.820922
10968,14.6025,16.68116
