Time,Error,Angle
583,-31.30688,19.2368
705,3.54,19.9448
828,1.54875,20.1791
1404,-32.52375,13.38108
1524,7.743751,16.473
1647,6.85875,17.90519
1767,-27.76688,11.00257
2222,-14.49188,8.224113
2342,20.355,13.67501
2460,17.36813,17.1175
2581,-22.125,11.15933
3036,-22.01438,6.731244
3155,18.47438,12.01911
3274,19.80188,16.13162
3395,-6.748125,13.76198
3851,-30.64313,7.358934
3971,15.37687,12.22952
4205,3.429375,12.72755
4774,-2.765625,12.11824
4895,17.58937,16.42186
5018,2.87625,16.48311
5594,-8.518126,14.67492
5717,12.50063,17.97119
5841,4.535625,18.62259
6416,-21.46125,14.10426
6538,14.38125,18.34567
6660,7.854375,19.74903
6777,-34.9575,11.0199
7231,-12.8325,8.662933
7466,23.895,14.20151
7585,-23.895,7.573435
8035,-14.38125,4.76877
8154,23.67375,11.01867
