Time,Error,Angle
124,-6.748125,23.8068
250,-10.28813,21.74917
372,-15.37687,18.47951
493,-23.78438,13.38202
610,-30.64313,6.959615
726,-32.96625,0.253798
840,-31.52813,-6.000212
1624,-16.59375,-9.224036
1743,-4.64625,-9.68053
1862,13.05375,-6.337295
1981,25.55438,-0.6881928
2099,25.55438,4.456687
2215,25.665,9.596333
2675,18.80625,13.28441
2794,9.181875,14.74016
2916,-3.0975,13.62107
3036,-21.46125,8.580182
3153,-25.77563,3.206497
3268,-31.63875,-3.373819
4154,-20.355,-7.383888
4271,-6.969376,-8.24256
4390,16.3725,-4.015236
4510,25.88625,1.596419
4626,28.32,7.385467
4743,23.56313,11.91424
4860,20.46563,15.8728
4980,15.81938,18.84525
5100,8.739375,20.30681
5222,-0.4425,19.84464
5344,-8.075625,17.91295
5465,-18.585,13.76894
5583,-27.21375,7.959601
5699,-33.29813,1.03102
5813,-29.86875,-4.819683
6708,-12.8325,-7.290763
6827,3.0975,-6.037909
6947,20.68688,-1.168109
7064,27.21375,4.582448
7180,27.76688,10.17756
7297,20.90812,14.0874
7415,16.48313,17.1912
7535,11.83687,19.36503
7656,5.973751,20.31864
7779,-2.2125,19.55141
7902,-14.04938,16.26624
8021,-24.22688,10.99362
8138,-28.7625,5.03242
8253,-28.87313,-0.7602105
9135,-25.88625,-5.920822
9254,-10.50938,-7.416064
9371,13.16438,-3.805114
9491,20.24438,0.5839007
9609,21.6825,4.998359
9725,29.86875,11.30732
9843,20.7975,15.12519
9962,15.81938,18.0733
10083,9.07125,19.61259
10204,2.765625,19.90427
10327,-4.535625,18.70249
10448,-20.13375,14.05278
10567,-25.33313,8.742342
10684,-32.19188,2.011658
10799,-32.52375,-4.525506
11690,-14.38125,-7.301246
11807,-4.093125,-7.701806
11927,21.90375,-2.279218
12045,26.55,3.283043
12161,28.20938,9.008046
12277,25.00125,13.88522
12395,20.24438,17.73749
12515,10.95187,19.54958
12637,4.425,20.1603
12759,-1.216875,19.68306
12881,-11.28375,17.02775
13001,-23.01,11.94275
13120,-27.32438,6.276098
13235,-33.74063,-0.7437892
14232,-18.36375,-4.342113
14349,2.43375,-3.025086
14468,18.1425,1.274117
14586,23.34188,6.191259
14702,25.88625,11.48808
14819,19.35938,15.10841
14939,14.16,17.7216
15060,9.403126,19.40274
15181,4.093125,20.00486
15305,-3.650625,18.96592
15427,-17.58937,14.89709
15547,-26.66063,9.173177
15663,-29.97938,3.019556
15778,-30.64313,-3.14627
16666,-18.1425,-6.705339
16785,-9.181875,-8.181628
16904,19.58063,-3.110174
17023,24.3375,2.017084
17140,26.9925,7.538362
17255,27.98812,13.18403
17374,18.03188,16.39822
17493,15.81938,19.45125
17614,5.420625,20.12535
17735,-0.110625,19.86346
17857,-7.743751,18.00635
17978,-20.7975,13.3217
18097,-28.65188,7.246359
18213,-31.19625,0.8823318
18327,-31.08563,-5.33837
19108,-18.1425,-8.884775
19227,-7.08,-9.863399
19347,14.38125,-6.121341
19466,25.00125,-0.648572
19584,24.89063,4.355219
19699,26.66063,9.760387
19816,20.13375,13.53063
19934,19.80188,17.46162
20054,14.71313,20.20358
20175,2.655,20.25467
20299,-4.20375,19.12509
20420,-15.4875,15.57227
20540,-24.89063,10.19528
20656,-29.97938,3.970387
20771,-29.86875,-2.013772
21652,-22.23563,-6.418057
21769,-9.624375,-7.839612
21888,14.93438,-3.846057
22007,23.23125,1.190049
22124,25.00125,6.285192
22241,26.88188,11.74352
22357,23.01,16.19581
22477,16.59375,19.25248
22598,8.85,20.7085
22719,-0.6637501,20.18751
22842,-6.748125,18.58199
22963,-20.7975,13.86197
23082,-25.55438,8.526851
23197,-33.51937,1.487301
23311,-31.86,-4.838571
24090,-21.12938,-8.995802
24208,-11.505,-10.90733
24326,11.505,-7.668318
24445,24.66937,-2.157193
24563,24.22688,2.707086
24679,30.86438,9.148908
24795,24.00563,13.69272
24913,19.80188,17.4685
25033,9.624375,18.98421
