Time,Error,Angle
125,-6.6375,23.94089
251,-8.075625,22.32576
378,-7.30125,20.89441
502,-13.7175,17.90954
623,-22.23563,13.11991
743,-25.44375,7.88334
862,-25.55438,2.758843
978,-27.98812,-2.937033
1094,-22.5675,-7.236465
1210,-20.13375,-11.1513
2143,-6.526875,-12.38343
2266,-0.4425,-12.23518
2388,8.960626,-10.06678
2509,21.57188,-5.244154
2629,25.99688,0.1613483
2748,22.78875,4.606559
2866,24.11625,9.475395
2984,21.90375,13.77052
3103,17.47875,17.08663
3224,10.73063,18.96213
3347,7.190625,20.24748
3470,3.650625,20.83426
3595,-0.331875,20.60954
3721,-5.31,19.35233
3845,-11.28375,16.85563
3967,-18.585,12.84529
4088,-23.78438,7.867005
4206,-29.75813,1.666236
4323,-26.55,-3.531262
4440,-20.02313,-7.265395
4556,-18.69563,-10.93418
5486,-7.633125,-12.40123
5610,0.110625,-12.0821
5732,10.62,-9.535572
5854,20.7975,-4.955393
5973,25.55438,0.3675218
6092,22.45687,4.750198
6210,26.66063,10.24233
6329,18.91688,13.72842
6448,15.81938,16.75277
6570,12.94313,19.22126
6691,6.526875,20.27242
6815,2.986875,20.71919
6938,-0.110625,20.57062
7065,-5.31,19.30853
7188,-12.39,16.54806
7311,-19.35938,12.39075
7431,-24.22688,7.339032
7549,-26.43937,1.950294
7667,-24.66937,-2.919181
7783,-20.7975,-6.919652
8805,-16.15125,-10.1499
8926,-5.420625,-11.23403
9047,3.54,-10.1786
9169,20.46563,-5.407792
9290,21.24,-1.087948
9409,26.77125,4.488644
9527,21.6825,8.638669
9644,24.55875,13.65363
9763,18.585,17.14002
9884,12.27938,19.33917
10006,8.296875,20.82829
10128,1.659375,20.8964
10252,-0.774375,20.6334
10379,-4.978125,19.47445
10502,-11.0625,17.01972
10626,-18.69563,12.97676
10746,-23.895,7.975699
10864,-29.6475,1.803819
10980,-24.44813,-2.893196
11096,-21.57188,-7.079189
12121,-16.26188,-10.33156
12241,-8.739375,-12.07944
12362,4.093125,-10.75938
12484,18.91688,-6.37497
12604,24.00563,-1.337621
12723,26.88188,4.166837
12841,26.43937,9.445313
12960,19.13812,12.98251
13079,17.81063,16.47416
13199,12.72188,18.81688
13321,7.411875,20.08261
13444,5.31,21.05119
13568,-0.110625,20.81643
13693,-4.535625,19.73017
13816,-11.0625,17.25956
13939,-16.48313,13.74029
14061,-23.78438,8.68659
14180,-25.2225,3.566847
14297,-28.20938,-2.198348
14413,-23.67375,-6.758065
14530,-21.46125,-10.94983
15463,-7.743751,-12.42484
15586,-1.10625,-12.39015
15709,7.190625,-10.61969
15831,21.12938,-5.837187
15952,26.1075,-0.3865471
16071,24.55875,4.478936
16190,18.80625,8.010735
16308,23.895,12.97874
16427,15.93,15.86526
16548,12.61125,18.24035
16669,9.403126,19.98751
16792,4.978125,20.80472
16915,0.22125,20.65797
17042,-5.08875,19.43067
17165,-10.50938,17.11077
17288,-17.81063,13.25438
17409,-24.3375,8.117751
17527,-28.98375,2.11956
17644,-26.1075,-2.99968
17761,-20.24438,-6.807438
17878,-19.69125,-10.7082
18808,-9.07125,-12.46552
18931,-0.553125,-12.24493
19053,8.296875,-10.22478
