Time,Error,Angle
350,-31.4175,18.79836
474,3.54,19.50636
818,-34.9575,11.96639
939,10.84125,15.87653
1059,-24.00563,9.831792
1400,18.47438,14.10698
1520,13.7175,16.70069
1869,-2.2125,16.03108
1992,7.411875,17.86712
2338,-24.11625,12.60768
2461,13.93875,16.82188
2577,-33.96188,8.18894
2807,-28.54125,2.533037
3039,21.90375,7.966646
3380,15.045,10.90138
3500,16.59375,14.27647
3845,-16.92563,10.41778
3966,18.03188,15.34011
4081,-34.84688,6.288692
4311,-26.32875,1.13184
4543,22.125,6.570083
4883,19.58063,10.47278
