Time,Error,Angle
469,-24.78,20.88213
593,-0.110625,20.86001
712,-31.97063,13.21113
1058,-24.22688,8.447167
1178,18.69563,13.86857
1297,-3.871875,12.31086
1637,-32.96625,5.281621
1755,23.12063,12.10462
1872,18.585,15.78049
2332,-9.95625,13.48359
2454,16.815,17.86571
2577,-1.3275,16.96945
2700,-4.756876,15.84882
2824,-1.216875,15.72844
2950,0.110625,15.80784
3075,0.110625,15.83337
3422,5.31,16.96869
3544,5.53125,18.08804
3663,-23.12063,12.34515
3780,-34.40438,4.94152
3896,-33.1875,-1.680455
4014,-21.12938,-5.426692
4134,-7.854375,-6.444692
4252,-4.535625,-7.18646
4482,11.9475,-4.445084
4706,35.06813,3.081204
4823,-18.47438,-2.723448
5049,-18.91688,-6.587695
5164,34.0725,2.376351
5391,8.186251,3.53349
5728,-24.11625,-1.769045
5951,33.96188,6.258798
6068,-22.01438,-0.3226399
