Time,Error,Angle
125,-12.72188,22.69632
246,-24.22688,17.85094
364,-32.745,10.96381
1361,-28.98375,5.183092
1481,-5.973751,4.888463
1600,17.58937,9.390749
1716,23.67375,14.43412
1835,17.14688,17.6239
1955,10.1775,19.37217
2076,1.77,19.38511
2198,-9.845625,16.9482
2318,-25.665,11.16286
2434,-32.41312,4.366165
3312,-24.22688,-0.4358797
3431,-0.0,0.5209677
3549,20.90812,5.600136
3665,28.43063,11.64731
3781,22.67813,15.97575
3901,14.82375,18.61819
4022,6.084375,19.47908
4146,-2.655,18.59547
4269,-21.12938,13.63722
4388,-29.53688,7.352829
5268,-33.51937,0.6231494
5385,-16.70438,-2.046542
5504,19.9125,3.420117
5621,27.10313,9.222981
5737,23.67375,13.84394
5855,18.91688,17.43284
5976,10.50938,19.1941
6097,1.99125,19.24376
6219,-12.27938,16.21749
6338,-26.77125,10.25676
6454,-32.96625,3.374687
7335,-21.35063,-0.8326907
7454,5.973751,1.442113
7573,22.45687,6.656035
7689,23.4525,11.43308
7806,22.5675,15.91692
7926,15.59813,18.76021
8047,6.084375,19.59116
8168,-4.8675,18.17266
8288,-23.895,12.62248
8405,-30.20063,6.280935
9284,-29.42625,0.3973455
9402,-8.85,-0.5557578
9523,19.58063,4.513101
9639,24.11625,9.593304
9755,24.66937,14.56598
9874,19.13812,18.1782
9994,9.181875,19.61214
10117,-2.43375,18.65745
10238,-18.585,14.28023
10357,-26.43937,8.64164
11350,-25.88625,3.464364
11469,-2.101875,3.980692
11588,20.02313,8.915382
11704,22.5675,13.58992
11938,16.26188,16.71677
12059,9.95625,18.45773
12180,-3.76125,17.15818
12300,-24.44813,11.42617
12417,-30.86438,4.942908
12531,-32.745,-1.704251
13307,-13.60688,-4.304716
13427,8.85,-1.649685
13546,23.23125,3.618418
13662,31.74938,10.35492
14007,19.9125,14.17846
14126,7.522501,15.18893
14249,-5.973751,13.44887
14367,-26.43937,7.314141
14483,-31.08563,0.8532705
15251,-24.89063,-4.087436
15368,-0.885,-3.309148
15488,20.90812,1.790637
15605,25.77563,7.196989
16059,24.89063,12.16985
16177,16.59375,15.15892
16298,-16.48313,10.5695
16415,-29.31563,4.110576
17293,-24.55875,-0.7796559
17336,-19.35938,-4.147889
17456,13.05375,-0.2392612
17574,24.66937,5.237703
17690,27.21375,10.81907
17807,21.24,14.83869
17928,18.91688,18.51709
18048,4.20375,18.7809
18171,-2.43375,18.00567
18292,-23.56313,12.44946
18409,-32.41312,5.562234
19288,-27.8775,0.008696556
19405,-8.960626,-1.031119
19524,21.46125,4.516282
19640,25.44375,9.844318
