Time,Error,Angle
123,-12.8325,22.53701
927,-20.90812,18.35539
1049,2.986875,19.8721
1172,2.101875,20.31472
1294,-14.71313,16.72652
1974,-25.99688,11.43766
2094,9.735001,14.77534
2213,19.0275,19.03043
2336,1.10625,18.59477
2454,-30.64313,11.16432
3013,-32.52375,4.624712
3131,5.641875,7.265903
3476,17.36813,10.93975
3594,-23.4525,4.628623
4148,-16.26188,1.417204
4267,19.9125,6.826934
4609,14.93438,9.775139
4726,-29.53688,2.085849
5283,-0.6637501,2.183533
5400,25.44375,8.331612
5629,21.24,12.52626
5749,0.6637501,11.85167
6423,-13.49625,9.039344
6544,12.61125,12.57472
6779,10.50938,14.66652
6898,-23.78438,8.558421
7452,-29.205,2.650177
7571,9.735001,6.138685
7913,19.58063,10.23003
8031,-22.78875,3.988092
8585,-15.26625,0.9779242
8703,21.6825,6.772285
9045,16.48313,10.02777
9163,-25.77563,3.179109
9719,-12.72188,0.7264075
9836,26.9925,7.719858
10179,8.4075,9.172747
10296,-25.665,2.661826
10738,-27.435,-2.86931
10857,4.978125,-0.5999196
10972,35.28938,7.762373
