Time,Error,Angle
122,-17.47875,21.75766
922,-32.745,15.20866
1045,2.2125,16.99612
1165,10.06688,19.39702
1287,4.756876,20.16643
1407,-16.92563,15.92939
2202,-17.7,12.37612
2323,12.61125,16.07279
2443,17.7,19.88468
2564,1.438125,19.55857
2684,-25.99688,13.24025
3358,-33.96188,6.376522
3477,9.403126,9.974051
3595,22.45687,15.09208
3715,13.60688,17.50661
3836,3.871875,17.88765
3955,-26.55,11.35488
4626,-28.43063,5.640533
4746,16.3725,10.65042
4978,20.355,14.86195
5098,7.411875,15.84339
5216,-26.77125,9.111504
5884,-22.34625,4.658791
6006,15.26625,9.1491
6352,12.50063,11.64245
6470,-18.1425,6.806699
7135,-18.69563,3.049188
7254,19.80188,8.536593
7600,14.38125,11.3706
7720,-10.62,8.274637
8385,-24.44813,3.270607
8504,16.59375,8.198546
8849,15.26625,11.26927
8970,-11.39438,7.957779
9637,-19.0275,4.083559
9756,16.48313,8.774398
10101,16.04063,12.00769
10220,-19.13812,6.807005
10886,-17.81063,3.238516
11007,15.81938,7.716101
11351,15.81938,10.90968
11471,-10.06688,7.886636
12137,-22.125,3.360256
12256,16.92563,8.276965
