Time,Error,Angle
126,-12.39,22.77768
247,-27.435,17.29068
1161,-34.18312,10.4175
1282,-10.84125,9.152012
1404,13.275,12.79014
1523,21.79313,17.54901
1644,9.513751,19.00383
1767,0.331875,18.69242
1890,-14.82375,15.12607
2009,-30.20063,8.442647
2793,-29.42625,2.555821
2913,-0.995625,3.467536
3032,22.23563,8.907026
3379,21.79313,13.28167
3499,9.735001,14.75849
3620,-20.13375,9.553774
3738,-33.1875,2.31893
4405,-25.11188,-2.650665
4523,-2.323125,-2.214488
4643,25.11188,3.944828
5093,27.54563,9.500281
5213,17.14688,12.52933
5333,-25.99688,5.6192
5449,-32.08125,-1.155187
6123,-14.49188,-3.928779
6244,12.61125,-0.3561215
6361,29.09438,6.189195
6822,17.81063,9.643341
6943,-6.416251,7.414094
7060,-27.8775,0.9196086
7730,-22.5675,-3.565475
7849,-0.553125,-2.814112
7968,25.665,3.405471
8419,29.205,9.304003
8538,18.03188,12.47736
8657,-24.55875,5.861115
9437,-29.205,-0.02664089
9557,2.986875,1.816005
9677,21.90375,7.019815
9794,27.10313,12.7009
10027,15.4875,15.56597
10147,7.190625,16.66807
10270,-20.355,11.5167
10388,-34.84688,3.9038
11056,-30.64313,-2.201307
11174,-8.628751,-3.051692
11293,24.66937,3.248438
11409,33.63,10.41999
11759,14.71313,13.10758
11881,0.885,12.73694
11999,-27.32438,6.12676
12778,-26.77125,0.764442
12899,4.535625,2.894394
13018,22.5675,8.188545
13136,24.00563,13.09693
13373,13.60688,15.60953
13496,4.20375,16.0814
13619,-20.90812,10.91103
13736,-34.515,3.405427
14403,-26.9925,-1.944379
14521,-9.07125,-3.044154
14640,24.89063,3.305479
14757,32.85563,10.28266
14989,21.24,14.30113
15109,9.513751,15.73506
15235,-8.960626,13.22013
15354,-29.31563,6.510056
16133,-24.11625,1.711246
16255,1.77,3.070426
16373,24.11625,8.836747
