Time,Error,Angle
128,-6.526875,23.92514
257,-7.411875,22.44276
385,-5.420625,21.43187
513,-5.863125,20.24717
639,-6.526875,18.9163
763,-11.17313,16.50542
887,-16.15125,13.07439
1009,-16.15125,9.831944
1128,-23.4525,4.850843
1248,-19.47,1.093321
1369,-18.47438,-2.554162
1488,-16.48313,-5.770031
1609,-13.275,-8.295661
1728,-14.71313,-11.28682
1847,-12.27938,-13.64988
3032,-8.518126,-15.35351
3157,-0.0,-15.35351
3283,3.76125,-14.46191
3411,7.743751,-12.75854
3535,11.83687,-10.22549
3655,12.16875,-7.768653
3775,18.03188,-3.931738
3896,22.45687,0.7454307
4017,22.5675,5.274685
4137,15.81938,8.175855
4257,13.49625,10.76715
4376,13.60688,13.48613
4496,12.61125,15.96933
4618,10.84125,18.06654
4741,7.190625,19.36097
4864,7.190625,20.79036
4988,3.429375,21.33427
5115,1.438125,21.53975
5242,-0.4425,21.37617
5368,-2.544375,20.785
5497,-5.420625,19.59028
5623,-5.08875,18.57835
5747,-8.628751,16.71982
5871,-13.93875,13.72286
5993,-18.47438,9.840674
6115,-17.47875,6.37176
6234,-23.23125,1.50064
6355,-17.47875,-1.785948
6475,-15.81938,-4.871975
6596,-15.26625,-7.898975
6715,-11.9475,-10.15613
6834,-13.93875,-13.014
8133,-6.084375,-14.23088
8256,-0.6637501,-14.36363
8382,5.08875,-13.12955
8505,10.06688,-10.9145
8627,12.72188,-8.254743
8747,19.69125,-4.039153
8868,20.355,0.07469606
8989,21.46125,4.412482
9110,18.47438,7.994359
9230,13.60688,10.51695
9349,13.05375,13.09373
9469,11.9475,15.43789
9590,10.39875,17.45479
9712,9.2925,19.26688
9835,7.522501,20.70044
9960,3.650625,21.28071
10086,1.77,21.55562
10212,0.4425,21.59027
10339,-1.659375,21.17675
10467,-4.425,20.18604
10596,-6.6375,18.77098
10720,-8.296875,17.04396
10844,-12.27938,14.43192
10966,-16.48313,10.964
11086,-22.23563,6.283267
11205,-23.78438,1.450153
11327,-15.81938,-1.411945
11447,-16.59375,-4.742097
11567,-13.82813,-7.400363
11687,-12.05813,-9.735551
11806,-13.82813,-12.56609
13100,-8.85,-14.33609
13224,-1.3275,-14.60159
13349,4.093125,-13.58064
13473,7.854375,-11.85387
13596,11.61563,-9.377664
13717,18.03188,-5.515056
13838,18.47438,-1.786954
13958,21.01875,2.517498
14079,21.01875,6.727462
14201,14.38125,9.346744
14321,17.03625,12.84176
14440,11.83687,15.01142
14561,12.05813,17.4194
14683,8.518126,18.98764
14806,5.641875,19.99797
14931,4.425,20.83015
15056,3.54,21.5017
15182,0.553125,21.49868
15309,-1.54875,21.10372
15435,-3.76125,20.26448
15564,-6.6375,18.82611
15688,-5.31,17.80772
15811,-12.8325,14.95882
15934,-17.81063,11.18947
16057,-18.69563,7.403602
16177,-19.9125,3.371036
16299,-19.24875,-0.4560685
16418,-18.1425,-4.039933
16538,-13.7175,-6.606365
16658,-13.275,-9.233282
16779,-12.61125,-11.72785
16898,-13.93875,-14.56575
18100,-3.76125,-15.318
18225,0.4425,-15.2295
18352,5.973751,-13.82829
18476,8.85,-11.93777
18599,12.61125,-9.264595
18720,17.03625,-5.676463
18842,22.34625,-0.990169
18963,18.80625,2.646252
19082,21.24,6.981589
19201,16.70438,10.15067
19320,13.275,12.65984
19441,12.39,15.09419
19563,9.403126,16.85722
19685,10.1775,18.91514
19808,6.85875,20.16058
19933,4.756876,21.02535
20058,2.101875,21.3407
20184,0.995625,21.49229
20310,-1.3275,21.13792
20437,-3.650625,20.31581
20566,-6.305625,18.95315
20690,-6.526875,17.63327
20815,-11.83687,15.06382
20938,-15.045,11.92107
21060,-20.68688,7.558444
21181,-18.80625,3.856671
21302,-19.0275,0.0462625
21422,-17.47875,-3.389275
21541,-16.815,-6.722594
21661,-15.70875,-9.818916
21780,-11.505,-11.95283
21901,-11.505,-14.24344
23099,-4.8675,-15.21694
23224,0.6637501,-15.08419
23351,5.7525,-13.74654
23476,10.39875,-11.48087
23599,11.505,-9.12633
23721,17.58937,-5.369246
23842,19.9125,-1.281912
23963,22.01438,3.208927
24083,21.01875,7.379503
24204,18.36375,10.94644
24322,11.72625,13.02366
24443,11.0625,15.19388
24564,10.28813,17.21887
24686,8.960626,18.95752
24809,7.854375,20.48325
24934,4.425,21.23658
25060,2.2125,21.588
25185,0.774375,21.68378
25312,-0.995625,21.4156
25439,-4.093125,20.47725
25567,-6.748125,19.02298
25691,-6.748125,17.66705
25815,-11.17313,15.26437
25937,-15.59813,11.96559
26059,-19.58063,7.885269
26179,-23.23125,3.086158
26302,-17.36813,-0.1729004
26422,-17.92125,-3.765485
26542,-14.71313,-6.584238
26662,-13.93875,-9.334025
26783,-12.94313,-11.88138
26904,-11.39438,-14.09766
28097,-5.199375,-15.13754
28222,-0.553125,-15.24817
28350,5.641875,-13.89196
28475,9.624375,-11.80369
28598,13.60688,-8.920328
28719,16.70438,-5.44936
28841,21.6825,-0.911818
28961,19.0275,2.803148
29080,20.68688,7.0002
29199,17.7,10.42631
29319,11.0625,12.37026
29438,12.8325,14.98923
29560,10.06688,16.89941
29683,9.181875,18.69542
29805,7.633125,20.15998
29929,5.31,21.13091
30055,1.99125,21.3989
30181,0.995625,21.55312
30307,-1.10625,21.25135
30434,-3.54,20.44844
30563,-5.973751,19.15932
30688,-6.85875,17.74864
30813,-11.83687,15.1903
30936,-15.045,12.04822
31058,-21.12938,7.580105
31177,-21.01875,3.365528
31298,-18.80625,-0.3106065
31418,-17.47875,-3.749191
31538,-16.59375,-7.029503
31658,-12.50063,-9.368557
31778,-11.72625,-11.67353
33068,-10.06688,-13.68691
33192,-3.31875,-14.35066
33317,2.43375,-13.64758
33443,5.863125,-12.3341
33567,12.16875,-9.652928
33688,15.15563,-6.490727
33809,17.14688,-2.976715
33929,23.56313,1.991891
34050,19.13812,5.663745
34171,17.81063,9.164787
34291,15.26625,12.114
34410,13.16438,14.65828
34530,11.83687,16.96827
34653,8.186251,18.46265
34776,7.190625,19.85408
34901,5.53125,20.89513
35027,3.650625,21.55063
35153,1.54875,21.7775
35279,-0.885,21.50473
35406,-3.54,20.69272
35533,-6.416251,19.29761
35659,-5.7525,18.16537
35783,-10.28813,15.93699
35907,-14.6025,12.84272
36029,-19.58063,8.725965
36150,-19.58063,4.797363
36272,-19.0275,1.01238
36392,-18.36375,-2.633369
36513,-16.815,-5.934172
36632,-15.045,-8.870141
36753,-11.72625,-11.08221
36873,-12.61125,-13.63076
38065,-6.6375,-14.95826
38190,-0.885,-15.13526
38317,4.425,-14.05353
38443,7.633125,-12.39547
38567,12.05813,-9.808256
38689,16.92563,-6.225106
38810,18.69563,-2.405134
38931,22.89938,2.344032
39052,22.125,6.749605
39173,13.93875,9.218756
39293,16.26188,12.54265
39413,11.72625,14.71512
39534,10.39875,16.73274
39656,9.2925,18.54487
39779,7.965,20.08437
39903,4.64625,20.88561
40029,2.986875,21.41292
40155,1.77,21.71734
40280,-0.774375,21.46455
40407,-3.54,20.64832
40536,-6.416251,19.25377
40662,-6.6375,17.91129
40785,-9.403126,15.92497
40909,-16.26188,12.4043
41031,-17.81063,8.766162
41151,-23.01,3.956267
41272,-17.92125,0.5550714
41393,-18.80625,-3.229197
41514,-14.93438,-6.066208
41634,-14.16,-8.858936
41754,-12.72188,-11.34421
41874,-11.0625,-13.48873
43062,-7.08,-14.90473
43188,-0.6637501,-15.03748
43315,4.314375,-13.99017
43440,7.411875,-12.38122
43564,10.73063,-10.10171
43686,16.48313,-6.57382
43807,17.36813,-3.051984
43928,20.68688,1.217042
44050,20.90812,5.415241
44170,19.24875,9.201181
44289,14.27063,11.85525
44409,13.38563,14.48498
44530,10.1775,16.39317
44652,9.2925,18.20983
44775,7.743751,19.69737
44898,6.084375,20.84717
45023,3.650625,21.48104
45149,1.438125,21.68036
45276,-0.885,21.41208
45402,-3.54,20.60034
45531,-6.305625,19.23143
45655,-7.08,17.77986
45779,-9.845625,15.7038
45903,-14.04938,12.72692
46025,-19.24875,8.668512
46146,-20.57625,4.488412
46267,-18.80625,0.7912903
46387,-18.25313,-2.833733
46508,-14.82375,-5.662887
46628,-15.93,-8.883411
46750,-11.83687,-11.09422
46870,-13.16438,-13.76923
48061,-6.748125,-15.11885
48186,-1.10625,-15.3401
48314,4.756876,-14.17151
48439,7.08,-12.65589
48564,11.83687,-10.10227
48685,15.70875,-6.800144
48808,19.80188,-2.67247
48928,23.01,2.064241
49049,22.5675,6.568828
49170,14.49188,9.155955
49289,13.93875,11.90208
49408,12.61125,14.36987
49528,11.505,16.62426
49650,9.735001,18.49976
49772,6.748125,19.731
49898,4.756876,20.6004
