Time,Error,Angle
121,-24.11625,20.4921
1032,-28.32,14.8281
1156,2.43375,16.48903
1277,9.845625,18.81522
1398,8.186251,20.41017
1521,-5.7525,18.72079
1639,-29.86875,11.76349
2419,-23.56313,7.080947
2539,12.72188,11.04504
2656,22.5675,16.04292
2776,12.61125,18.20624
2897,4.8675,18.85735
3018,-20.68688,13.70138
3804,-32.3025,7.157519
3924,-1.216875,8.114264
4042,21.79313,13.47003
4274,12.94313,15.90794
4396,2.2125,15.92509
4514,-28.32,9.031962
5177,-34.29375,2.114118
5295,-12.27938,0.5353518
5412,27.32438,7.640771
5753,18.585,11.26996
5873,-1.10625,10.27982
5989,-31.86,2.607471
6652,-19.13812,-1.140891
6770,17.58937,3.839921
6887,29.09438,10.21678
7116,19.58063,13.9509
7237,4.978125,14.36912
7357,-23.12063,8.611115
8134,-13.05375,6.052926
8253,15.26625,10.2248
8602,16.815,13.63443
8723,-5.7525,11.605
8839,-32.41312,3.999616
9500,-23.12063,-0.5684109
9620,20.7975,5.310696
9736,27.435,11.17582
9966,18.585,14.71878
10084,9.624375,16.27985
10203,-24.89063,9.919607
10980,-24.22688,5.064448
11100,15.93,9.831341
11216,26.1075,15.56076
11337,13.82813,17.88162
11458,6.084375,18.77081
11580,-16.70438,14.52614
11697,-34.40438,6.885546
12360,-25.00125,1.946449
12479,10.84125,5.530124
12595,26.77125,11.61193
12825,18.1425,15.08279
12948,3.650625,15.25003
13066,-26.43937,8.741834
13729,-34.9575,1.672266
13846,-5.31,1.782216
13964,21.24,7.158184
