Time,Error,Angle
586,-19.69125,22.09222
711,-5.641875,20.96384
831,-33.51937,13.16206
1290,4.20375,14.38803
1411,14.04938,17.60029
1532,-13.82813,13.77862
1992,3.650625,14.67754
2115,13.49625,17.76593
2236,-16.15125,13.41019
2696,0.6637501,13.70312
2818,15.15563,17.30601
2939,-10.39875,14.27809
3398,-16.70438,10.85336
3637,6.748125,12.67511
4093,-15.4875,9.346081
4213,19.58063,14.60759
4333,11.17313,16.59736
4789,-33.29813,9.454277
4910,14.16,14.11066
5028,18.03188,17.98387
5485,-34.0725,10.61242
5606,6.305625,13.39296
5728,13.7175,16.51759
5844,-33.1875,8.027529
6184,-31.08563,1.798203
6528,15.26625,5.507799
6981,10.73063,7.615975
